country_id,country_name,market_id
1,Afghanistan,2
2,Albania,3
3,Algeria,1
4,Angola,1
5,Argentina,4
6,Armenia,2
7,Australia,2
8,Austria,3
9,Azerbaijan,2
10,Bahrain,2
11,Bangladesh,2
12,Barbados,4
13,Belarus,3
14,Belgium,3
15,Belize,4
16,Benin,1
17,Bhutan,2
18,Bolivia,4
19,Bosnia and Herzegovina,3
20,Botswana,1
21,Brazil,4
22,Bulgaria,3
23,Burkina Faso,1
24,Burundi,1
25,Cambodia,2
26,Cameroon,1
27,Canada,5
28,Central African Republic,1
29,Chad,1
30,Chile,4
31,China,2
32,Colombia,4
33,Costa Rica,4
34,Cote d'Ivoire,1
35,Croatia,3
36,Cuba,4
37,Cyprus,3
38,Czech Republic,3
39,Democratic Republic of the Congo,1
40,Denmark,3
41,Djibouti,1
42,Dominican Republic,4
43,Ecuador,4
44,Egypt,1
45,El Salvador,4
46,Equatorial Guinea,1
47,Eritrea,1
48,Estonia,3
49,Ethiopia,1
50,Finland,3
51,France,3
52,French Guiana,4
53,Gabon,1
54,Georgia,2
55,Germany,3
56,Ghana,1
57,Greece,3
58,Guadeloupe,4
59,Guatemala,4
60,Guinea,1
61,Guinea-Bissau,1
62,Guyana,4
63,Haiti,4
64,Honduras,4
65,Hong Kong,2
66,Hungary,3
67,India,2
68,Indonesia,2
69,Iran,2
70,Iraq,2
71,Ireland,3
72,Israel,2
73,Italy,3
74,Jamaica,4
75,Japan,2
76,Jordan,2
77,Kazakhstan,2
78,Kenya,1
79,Kuwait,2
80,Kyrgyzstan,2
81,Laos,2
82,Lebanon,2
83,Lesotho,1
84,Liberia,1
85,Libya,1
86,Lithuania,3
87,Luxembourg,3
88,Macedonia,3
89,Madagascar,1
90,Malawi,1
91,Malaysia,2
92,Mali,1
93,Martinique,4
94,Mauritania,1
95,Mexico,4
96,Moldova,3
97,Mongolia,2
98,Montenegro,3
99,Morocco,1
100,Mozambique,1
101,Myanmar (Burma),2
102,Namibia,1
103,Nepal,2
104,Netherlands,3
105,New Zealand,2
106,Nicaragua,4
107,Niger,1
108,Nigeria,1
109,Norway,3
110,Oman,2
111,Pakistan,2
112,Panama,4
113,Papua New Guinea,2
114,Paraguay,4
115,Peru,4
116,Philippines,2
117,Poland,3
118,Portugal,3
119,Qatar,2
120,Republic of the Congo,1
121,Romania,3
122,Russia,3
123,Rwanda,1
124,Saudi Arabia,2
125,Senegal,1
126,Serbia,3
127,Sierra Leone,1
128,Singapore,2
129,Slovakia,3
130,Slovenia,3
131,Somalia,1
132,South Africa,1
133,South Korea,2
134,South Sudan,1
135,Spain,3
136,Sri Lanka,2
137,Sudan,1
138,Suriname,4
139,Swaziland,1
140,Sweden,3
141,Switzerland,3
142,Syria,2
143,Taiwan,2
144,Tajikistan,2
145,Tanzania,1
146,Thailand,2
147,The Gambia,1
148,Togo,1
149,Trinidad and Tobago,4
150,Tunisia,1
151,Turkey,2
152,Turkmenistan,2
153,Uganda,1
154,Ukraine,3
155,United Arab Emirates,2
156,United Kingdom,3
157,United States,5
158,Uruguay,4
159,Uzbekistan,2
160,Venezuela,4
161,Vietnam,2
162,Western Sahara,1
163,Yemen,2
164,Zambia,1
165,Zimbabwe,1
