row_id,order_id,product_id,sales,quantity,discount,profit,shipping_cost
1,MX-2015-SC2057582-42279,OFF-LA-4658,13.079999999999998,3,0.0,4.56,2.033
2,MX-2013-KW1657028-41562,FUR-FU-6238,252.16,8,0.0,90.72,13.449000000000002
3,MX-2013-KW1657028-41562,FUR-BO-4845,193.28000000000003,2,0.0,54.08,9.627
4,MX-2013-KW1657028-41562,OFF-BI-3720,35.43999999999999,4,0.0,4.96,1.371
5,MX-2013-KW1657028-41562,OFF-AR-5905,71.60000000000001,2,0.0,11.44,3.787
6,MX-2013-KW1657028-41562,OFF-EN-4446,56.120000000000005,2,0.0,21.32,4.718
7,MX-2014-DP1300018-41909,OFF-EN-4446,56.120000000000005,2,0.0,21.32,4.108
8,MX-2014-DP1300018-41909,TEC-MA-5003,344.64,3,0.0,165.42,26.202
9,MX-2014-DP1300018-41909,OFF-SU-4116,97.36,4,0.0,19.44,6.863
10,MX-2014-DP1300018-41909,TEC-AC-4186,341.52,2,0.0,13.64,17.341
11,MX-2014-DP1300018-41909,OFF-BI-6398,12.06,3,0.0,3.4799999999999995,1.134
12,MX-2014-TB2125093-41703,OFF-FA-2955,20.76,3,0.0,9.54,1.649
13,MX-2014-TB2125093-41703,FUR-CH-4698,210.64,4,0.0,50.48,16.065
14,MX-2015-PK1891093-42271,OFF-EN-5034,80.10000000000002,3,0.0,37.620000000000005,8.863
15,MX-2015-JK1562518-42295,OFF-AR-6106,132.64,4,0.0,35.760000000000005,6.203
16,MX-2015-JK1562518-42295,OFF-FA-3022,12.94,1,0.0,1.02,1.464
17,US-2014-HE1480098-41816,OFF-EN-4926,18.84,2,0.4,-6.6,1.602
18,US-2014-HE1480098-41816,FUR-FU-3941,308.28,7,0.4,-149.10000000000005,27.77
19,US-2014-HE1480098-41816,OFF-EN-4440,40.176,2,0.4,-6.064000000000002,2.137
20,US-2014-HE1480098-41816,OFF-EN-4906,8.783999999999997,3,0.4,-4.835999999999999,1.38
21,MX-2014-JE1561082-41992,FUR-CH-4682,273.47200000000004,4,0.2,95.71200000000002,48.165
22,MX-2014-TB2105526-41941,TEC-AC-4174,26.999999999999996,1,0.0,5.94,3.895000000000001
23,MX-2014-TB2105526-41941,OFF-SU-2967,207.0,9,0.0,66.24,37.857
24,US-2015-DW1319598-42280,OFF-BI-2899,60.66,3,0.4,-20.22000000000001,4.0
25,US-2013-SJ2021582-41543,FUR-FU-3928,181.116,9,0.4,-75.56400000000001,1.085
26,MX-2015-SP2065082-42173,TEC-CO-4765,326.18632,2,0.002,64.70632,16.777
27,MX-2015-SP2065082-42173,OFF-ST-5688,80.0,5,0.0,34.4,5.0840000000000005
28,US-2014-SC2005055-41783,OFF-BI-6383,141.28799999999998,7,0.4,-73.052,9.465
29,US-2014-SC2005055-41783,OFF-FA-6208,21.84,4,0.4,-3.28,1.091
30,US-2014-SC2005055-41783,TEC-PH-5262,114.816,4,0.4,-49.824,5.923
31,US-2014-SC2005055-41783,OFF-AR-3488,19.272,2,0.4,2.872,1.843
32,US-2014-SC2005055-41783,OFF-AP-3582,152.28000000000003,5,0.4,-99.02000000000002,16.244999999999997
33,US-2014-SC2005055-41783,TEC-CO-5998,941.77824,8,0.402,-601.7417599999999,80.28099999999999
