order_id,customer_id,location_id,order_date,ship_date,ship_mode,order_priority
AE-2012-PO8865138-41184,PO-8865138,2984,2012-10-02,2012-10-06,Standard Class,Medium
AE-2014-EB4110138-41926,EB-4110138,2985,2014-10-14,2014-10-14,Same Day,High
AE-2014-MY7380138-42004,MY-7380138,2985,2014-12-31,2015-01-03,Second Class,High
AE-2015-GH4665138-42351,GH-4665138,2985,2015-12-13,2015-12-19,Standard Class,Medium
AE-2015-JD5790138-42070,JD-5790138,2984,2015-03-07,2015-03-11,Standard Class,Medium
AE-2015-PG8820138-42313,PG-8820138,2984,2015-11-05,2015-11-08,First Class,Critical
AG-2012-AA6453-41020,AA-6453,10,2012-04-21,2012-04-24,First Class,High
AG-2012-AC4203-40915,AC-4203,10,2012-01-07,2012-01-11,Standard Class,Medium
AG-2012-AH2103-41133,AH-2103,10,2012-08-12,2012-08-16,Standard Class,Medium
AG-2012-AJ7803-40978,AJ-7803,13,2012-03-10,2012-03-15,Standard Class,Medium
AG-2012-AS2853-41235,AS-2853,16,2012-11-22,2012-11-26,Standard Class,Medium
AG-2012-BC11253-41219,BC-11253,10,2012-11-06,2012-11-10,Standard Class,Medium
AG-2012-BM17853-41052,BM-17853,20,2012-05-23,2012-05-26,First Class,Critical
AG-2012-BM17853-41085,BM-17853,24,2012-06-25,2012-07-01,Standard Class,Medium
AG-2012-CC23703-40970,CC-23703,10,2012-03-02,2012-03-08,Standard Class,Medium
AG-2012-DB32103-41257,DB-32103,16,2012-12-14,2012-12-19,Standard Class,Medium
AG-2012-DH36753-41136,DH-36753,15,2012-08-15,2012-08-20,Standard Class,Medium
AG-2012-DK28353-41264,DK-28353,25,2012-12-21,2012-12-23,First Class,Medium
AG-2012-EG39003-41262,EG-39003,11,2012-12-19,2012-12-26,Standard Class,Low
AG-2012-JH59853-41214,JH-59853,15,2012-11-01,2012-11-03,First Class,High
AG-2012-MW82203-41108,MW-82203,24,2012-07-18,2012-07-23,Standard Class,Medium
AG-2012-MW82203-41268,MW-82203,10,2012-12-25,2012-12-26,Same Day,Medium
AG-2012-OT87303-41262,OT-87303,16,2012-12-19,2012-12-24,Standard Class,Medium
AG-2012-RO97803-40964,RO-97803,10,2012-02-25,2012-02-25,Same Day,Critical
AG-2012-RS97653-41074,RS-97653,10,2012-06-14,2012-06-14,Same Day,Critical
AG-2012-TB112803-40909,TB-112803,16,2012-01-01,2012-01-06,Standard Class,Medium
AG-2012-TH112353-40918,TH-112353,16,2012-01-10,2012-01-15,Second Class,Medium
AG-2012-TT110703-41133,TT-110703,10,2012-08-12,2012-08-17,Second Class,Medium
AG-2013-AA4803-41494,AA-4803,14,2013-08-08,2013-08-14,Standard Class,Medium
AG-2013-BP12303-41486,BP-12303,21,2013-07-31,2013-08-04,Standard Class,Medium
AG-2013-CC24303-41517,CC-24303,25,2013-08-31,2013-09-05,Standard Class,Medium
AG-2013-CP23403-41422,CP-23403,24,2013-05-28,2013-05-30,Second Class,Medium
AG-2013-DC32853-41506,DC-32853,28,2013-08-20,2013-08-24,Standard Class,High
AG-2013-GH44103-41604,GH-44103,10,2013-11-26,2013-11-30,Standard Class,Medium
AG-2013-KF62853-41594,KF-62853,10,2013-11-16,2013-11-22,Standard Class,Medium
AG-2013-LC70503-41535,LC-70503,13,2013-09-18,2013-09-23,Standard Class,Medium
AG-2013-LM70653-41352,LM-70653,11,2013-03-19,2013-03-21,First Class,Medium
AG-2013-LM70653-41618,LM-70653,16,2013-12-10,2013-12-14,Standard Class,Medium
AG-2013-MP74703-41495,MP-74703,11,2013-08-09,2013-08-13,Standard Class,Medium
AG-2013-MV81903-41587,MV-81903,10,2013-11-09,2013-11-13,Standard Class,Medium
